Identifier, Groundtruth, Estimate
siwirora_speed2_yaw10_wind2_off1_noise3.png, 10, 22.2
siwirora_speed2_yaw7_wind3_off2_noise7.png, 7, -0.2
siwirora_speed6_yaw4_wind5_off2_noise7.png, 4, 2.6
siwirora_speed7_yaw11_wind4_off1_noise7.png, 11, 33.5
siwirora_speed7_yaw5_wind2_off2_noise4.png, 5, -7.3
siwirora_speed2_yaw4_wind6_off1_noise1.png, 4, -1.1
siwirora_speed1_yaw9_wind3_off1_noise8.png, 9, 8.5
siwirora_speed8_yaw8_wind4_off2_noise8.png, 8, 4.5
siwirora_speed4_yaw8_wind2_off1_noise5.png, 8, 7.8
siwirora_speed8_yaw4_wind3_off1_noise4.png, 4, -18.9
siwirora_speed7_yaw8_wind2_off2_noise4.png, 8, 15.1
siwirora_speed1_yaw2_wind3_off2_noise4.png, 2, -15.9
siwirora_speed7_yaw10_wind3_off2_noise5.png, 10, 24.2
siwirora_speed5_yaw1_wind3_off2_noise1.png, 1, -18.8
siwirora_speed7_yaw2_wind6_off1_noise2.png, 2, -9.7
siwirora_speed5_yaw4_wind6_off1_noise5.png, 4, -10.7
siwirora_speed5_yaw10_wind1_off2_noise1.png, 10, 21.5
siwirora_speed9_yaw3_wind1_off2_noise8.png, 3, -32.8
siwirora_speed6_yaw5_wind6_off2_noise7.png, 5, -10.4
siwirora_speed8_yaw7_wind3_off1_noise8.png, 7, -2.6
siwirora_speed7_yaw1_wind2_off1_noise8.png, 1, -35.6
siwirora_speed5_yaw1_wind5_off1_noise5.png, 1, -24.9
siwirora_speed6_yaw3_wind4_off1_noise7.png, 3, -18.7
siwirora_speed8_yaw4_wind4_off1_noise1.png, 4, -7.2
siwirora_speed9_yaw11_wind1_off2_noise5.png, 11, 36.8
siwirora_speed3_yaw10_wind6_off1_noise3.png, 10, 10.0
siwirora_speed9_yaw1_wind4_off1_noise6.png, 1, -31.7
siwirora_speed1_yaw6_wind4_off2_noise2.png, 6, -5.3
siwirora_speed9_yaw4_wind2_off2_noise6.png, 4, -25.3
siwirora_speed3_yaw10_wind3_off2_noise8.png, 10, 25.9
siwirora_speed1_yaw6_wind4_off1_noise1.png, 6, -6.8
siwirora_speed5_yaw9_wind2_off2_noise8.png, 9, 15.1
siwirora_speed8_yaw7_wind4_off2_noise5.png, 7, -3.1
siwirora_speed8_yaw11_wind2_off1_noise3.png, 11, 33.9
siwirora_speed1_yaw4_wind4_off2_noise4.png, 4, -13.2
siwirora_speed5_yaw4_wind1_off1_noise6.png, 4, -16.3
siwirora_speed7_yaw1_wind4_off2_noise5.png, 1, -19.3
siwirora_speed1_yaw9_wind3_off2_noise8.png, 9, 2.6
siwirora_speed2_yaw10_wind4_off1_noise1.png, 10, 8.1
siwirora_speed1_yaw7_wind5_off1_noise8.png, 7, -2.0
siwirora_speed5_yaw10_wind5_off2_noise7.png, 10, 13.5
siwirora_speed6_yaw2_wind4_off1_noise7.png, 2, -26.7
siwirora_speed7_yaw7_wind2_off1_noise3.png, 7, -0.9
siwirora_speed6_yaw5_wind6_off1_noise8.png, 5, -9.6
siwirora_speed8_yaw3_wind3_off2_noise6.png, 3, -27.2
siwirora_speed8_yaw2_wind1_off2_noise8.png, 2, -36.2
siwirora_speed4_yaw7_wind1_off2_noise7.png, 7, -1.0
siwirora_speed7_yaw9_wind2_off1_noise7.png, 9, 22.3
siwirora_speed9_yaw10_wind5_off1_noise3.png, 10, 9.6
siwirora_speed6_yaw6_wind5_off2_noise1.png, 6, -9.3
siwirora_speed2_yaw7_wind3_off1_noise3.png, 7, -0.7
siwirora_speed3_yaw4_wind2_off1_noise6.png, 4, -19.2
siwirora_speed9_yaw3_wind4_off1_noise7.png, 3, -27.9
siwirora_speed5_yaw3_wind6_off2_noise6.png, 3, -23.9
siwirora_speed9_yaw8_wind6_off2_noise6.png, 8, 14.4
siwirora_speed8_yaw1_wind5_off1_noise8.png, 1, -33.6
siwirora_speed2_yaw2_wind6_off2_noise2.png, 2, -14.6
siwirora_speed8_yaw5_wind5_off2_noise6.png, 5, -17.4
siwirora_speed5_yaw1_wind4_off2_noise6.png, 1, -26.9
siwirora_speed7_yaw5_wind5_off1_noise6.png, 5, -11.4
siwirora_speed6_yaw7_wind2_off2_noise1.png, 7, 1.2
siwirora_speed5_yaw1_wind2_off2_noise4.png, 1, -29.0
siwirora_speed3_yaw3_wind4_off1_noise1.png, 3, -21.9
siwirora_speed6_yaw3_wind5_off1_noise1.png, 3, -10.0
siwirora_speed1_yaw3_wind2_off2_noise3.png, 3, -20.4
siwirora_speed7_yaw1_wind1_off2_noise1.png, 1, -33.8
siwirora_speed2_yaw4_wind4_off2_noise5.png, 4, -7.1
siwirora_speed9_yaw11_wind6_off2_noise4.png, 11, 19.3
siwirora_speed4_yaw11_wind1_off2_noise6.png, 11, 30.5
siwirora_speed4_yaw3_wind2_off1_noise8.png, 3, -21.9
siwirora_speed1_yaw3_wind3_off1_noise3.png, 3, -16.9
siwirora_speed1_yaw8_wind2_off2_noise6.png, 8, 1.3
siwirora_speed2_yaw9_wind2_off1_noise5.png, 9, 14.7
siwirora_speed5_yaw1_wind4_off1_noise6.png, 1, -32.8
siwirora_speed9_yaw4_wind3_off1_noise1.png, 4, -24.2
siwirora_speed1_yaw2_wind3_off1_noise8.png, 2, -13.9
siwirora_speed5_yaw11_wind2_off1_noise3.png, 11, 36.0
siwirora_speed3_yaw8_wind2_off1_noise4.png, 8, 8.9
siwirora_speed5_yaw7_wind6_off1_noise3.png, 7, 1.1
siwirora_speed8_yaw1_wind1_off1_noise2.png, 1, -34.3
siwirora_speed5_yaw7_wind3_off2_noise1.png, 7, -1.3
siwirora_speed2_yaw7_wind6_off2_noise2.png, 7, -3.4
siwirora_speed8_yaw6_wind6_off1_noise3.png, 6, -8.3
siwirora_speed4_yaw4_wind4_off1_noise6.png, 4, -14.3
siwirora_speed9_yaw2_wind5_off1_noise8.png, 2, -30.0
siwirora_speed1_yaw3_wind2_off1_noise1.png, 3, -16.6
siwirora_speed5_yaw6_wind1_off2_noise4.png, 6, -3.5
siwirora_speed3_yaw4_wind6_off1_noise7.png, 4, 7.1
siwirora_speed1_yaw8_wind5_off2_noise8.png, 8, 0.8
siwirora_speed3_yaw10_wind5_off1_noise8.png, 10, 25.2
siwirora_speed7_yaw11_wind6_off2_noise2.png, 11, 34.6
siwirora_speed4_yaw7_wind2_off1_noise6.png, 7, 1.6
siwirora_speed1_yaw4_wind4_off1_noise6.png, 4, -16.7
siwirora_speed9_yaw5_wind2_off2_noise3.png, 5, -15.2
siwirora_speed9_yaw7_wind6_off1_noise6.png, 7, 1.9
siwirora_speed5_yaw2_wind2_off1_noise3.png, 2, -30.7
siwirora_speed7_yaw11_wind2_off2_noise5.png, 11, 36.4
siwirora_speed4_yaw10_wind2_off2_noise3.png, 10, 24.2
siwirora_speed2_yaw8_wind4_off1_noise2.png, 8, 7.5
siwirora_speed9_yaw10_wind2_off2_noise8.png, 10, 28.6
siwirora_speed5_yaw4_wind2_off2_noise3.png, 4, -22.5
siwirora_speed3_yaw5_wind1_off1_noise4.png, 5, -11.1
siwirora_speed7_yaw6_wind2_off1_noise4.png, 6, -10.3
siwirora_speed9_yaw4_wind2_off2_noise2.png, 4, -28.9
siwirora_speed3_yaw1_wind1_off1_noise5.png, 1, -25.2
siwirora_speed9_yaw1_wind3_off1_noise2.png, 1, -30.6
siwirora_speed7_yaw8_wind6_off2_noise7.png, 8, 8.6
siwirora_speed4_yaw6_wind6_off2_noise3.png, 6, -7.7
siwirora_speed4_yaw6_wind3_off1_noise1.png, 6, -2.3
siwirora_speed6_yaw11_wind2_off2_noise5.png, 11, 26.0
siwirora_speed5_yaw2_wind1_off2_noise5.png, 2, -30.6
siwirora_speed4_yaw9_wind2_off1_noise3.png, 9, 19.0
siwirora_speed7_yaw5_wind5_off1_noise7.png, 5, 0.7
siwirora_speed9_yaw1_wind5_off1_noise2.png, 1, -35.2
siwirora_speed8_yaw2_wind4_off2_noise7.png, 2, -32.9
siwirora_speed1_yaw11_wind4_off2_noise4.png, 11, 14.3
siwirora_speed7_yaw10_wind1_off2_noise1.png, 10, 25.2
siwirora_speed4_yaw4_wind2_off2_noise3.png, 4, -18.2
siwirora_speed9_yaw9_wind4_off1_noise3.png, 9, 25.8
siwirora_speed2_yaw10_wind3_off1_noise1.png, 10, 18.0
siwirora_speed2_yaw4_wind3_off2_noise5.png, 4, -11.8
siwirora_speed1_yaw7_wind5_off2_noise7.png, 7, -3.0
siwirora_speed2_yaw10_wind3_off1_noise2.png, 10, 22.9
siwirora_speed9_yaw11_wind4_off1_noise2.png, 11, 29.0
siwirora_speed2_yaw8_wind3_off1_noise6.png, 8, 4.4
siwirora_speed2_yaw8_wind3_off2_noise8.png, 8, 6.1
siwirora_speed3_yaw8_wind5_off1_noise8.png, 8, 7.5
siwirora_speed9_yaw10_wind4_off1_noise4.png, 10, 25.4
siwirora_speed4_yaw5_wind3_off1_noise8.png, 5, -9.7
siwirora_speed2_yaw1_wind3_off1_noise1.png, 1, -13.8
siwirora_speed3_yaw4_wind4_off1_noise5.png, 4, -13.7
siwirora_speed3_yaw4_wind1_off1_noise4.png, 4, -19.8
siwirora_speed4_yaw2_wind5_off2_noise1.png, 2, -38.3
siwirora_speed9_yaw9_wind5_off1_noise5.png, 9, 24.3
siwirora_speed9_yaw4_wind3_off1_noise2.png, 4, -23.1
siwirora_speed2_yaw1_wind2_off2_noise8.png, 1, -19.7
siwirora_speed1_yaw11_wind1_off2_noise8.png, 11, 11.3
siwirora_speed2_yaw7_wind5_off1_noise6.png, 7, -1.0
siwirora_speed9_yaw4_wind4_off2_noise8.png, 4, -24.7
siwirora_speed2_yaw4_wind1_off2_noise2.png, 4, -16.1
siwirora_speed2_yaw5_wind6_off1_noise2.png, 5, -3.2
siwirora_speed6_yaw7_wind6_off2_noise2.png, 7, 0.3
siwirora_speed1_yaw8_wind2_off1_noise8.png, 8, 4.8
siwirora_speed4_yaw9_wind1_off2_noise2.png, 9, 13.0
siwirora_speed4_yaw7_wind3_off1_noise2.png, 7, -0.8
siwirora_speed7_yaw10_wind1_off2_noise2.png, 10, 33.9
siwirora_speed8_yaw8_wind3_off2_noise6.png, 8, 14.6
siwirora_speed8_yaw6_wind3_off2_noise1.png, 6, -5.2
siwirora_speed7_yaw7_wind2_off1_noise5.png, 7, 1.1
siwirora_speed8_yaw1_wind6_off2_noise3.png, 1, -21.4
siwirora_speed8_yaw7_wind2_off2_noise1.png, 7, -0.8
siwirora_speed1_yaw1_wind6_off1_noise8.png, 1, 1.9
siwirora_speed2_yaw3_wind2_off1_noise3.png, 3, -20.0
siwirora_speed2_yaw3_wind4_off1_noise6.png, 3, -6.6
siwirora_speed1_yaw1_wind6_off1_noise2.png, 1, 2.1
siwirora_speed5_yaw2_wind3_off2_noise7.png, 2, -33.8
siwirora_speed8_yaw7_wind1_off1_noise7.png, 7, 2.0
siwirora_speed9_yaw1_wind3_off2_noise8.png, 1, -37.1
siwirora_speed8_yaw4_wind3_off1_noise2.png, 4, -13.8
siwirora_speed9_yaw3_wind3_off2_noise8.png, 3, -31.1
siwirora_speed3_yaw2_wind3_off2_noise3.png, 2, -9.9
siwirora_speed8_yaw4_wind1_off1_noise4.png, 4, -21.0
siwirora_speed8_yaw3_wind6_off1_noise7.png, 3, -19.4
siwirora_speed7_yaw9_wind2_off1_noise5.png, 9, 21.7
siwirora_speed3_yaw1_wind6_off1_noise4.png, 1, -16.5
siwirora_speed8_yaw3_wind6_off2_noise4.png, 3, -24.8
siwirora_speed2_yaw7_wind4_off1_noise3.png, 7, 0.1
siwirora_speed8_yaw6_wind3_off2_noise5.png, 6, -6.1
siwirora_speed4_yaw2_wind6_off2_noise5.png, 2, -15.8
siwirora_speed2_yaw9_wind2_off1_noise4.png, 9, 13.8
siwirora_speed5_yaw8_wind5_off1_noise7.png, 8, 11.1
siwirora_speed4_yaw1_wind4_off1_noise1.png, 1, -28.3
siwirora_speed2_yaw2_wind2_off1_noise3.png, 2, -25.2
siwirora_speed6_yaw9_wind3_off1_noise7.png, 9, 19.7
siwirora_speed5_yaw5_wind2_off2_noise2.png, 5, -13.6
siwirora_speed2_yaw4_wind2_off2_noise7.png, 4, -17.5
siwirora_speed2_yaw4_wind5_off1_noise1.png, 4, 5.5
siwirora_speed8_yaw9_wind6_off2_noise4.png, 9, -8.8
siwirora_speed4_yaw5_wind5_off1_noise3.png, 5, 2.3
siwirora_speed8_yaw3_wind5_off1_noise8.png, 3, -31.8
siwirora_speed1_yaw4_wind4_off2_noise1.png, 4, -19.4
siwirora_speed4_yaw6_wind3_off1_noise5.png, 6, -5.9
siwirora_speed1_yaw3_wind1_off1_noise3.png, 3, -7.6
siwirora_speed1_yaw10_wind1_off1_noise7.png, 10, 11.7
siwirora_speed4_yaw9_wind3_off1_noise3.png, 9, 16.2
siwirora_speed8_yaw1_wind4_off2_noise4.png, 1, -33.7
siwirora_speed8_yaw3_wind5_off2_noise6.png, 3, -32.9
siwirora_speed9_yaw8_wind6_off2_noise7.png, 8, 13.2
siwirora_speed8_yaw11_wind4_off2_noise4.png, 11, 32.0
siwirora_speed6_yaw10_wind2_off2_noise2.png, 10, 27.4
siwirora_speed1_yaw3_wind4_off2_noise2.png, 3, -13.4
siwirora_speed8_yaw5_wind3_off1_noise8.png, 5, -10.4
siwirora_speed3_yaw10_wind1_off1_noise4.png, 10, 23.5
siwirora_speed9_yaw3_wind2_off2_noise1.png, 3, -19.8
siwirora_speed1_yaw11_wind4_off1_noise5.png, 11, 17.5
siwirora_speed7_yaw10_wind5_off2_noise7.png, 10, 26.1
siwirora_speed1_yaw7_wind2_off1_noise7.png, 7, -0.8
siwirora_speed5_yaw10_wind6_off1_noise2.png, 10, 29.3
siwirora_speed9_yaw2_wind3_off1_noise7.png, 2, -32.8
siwirora_speed3_yaw6_wind4_off1_noise3.png, 6, -2.0
siwirora_speed2_yaw11_wind3_off1_noise1.png, 11, 27.4
siwirora_speed2_yaw4_wind5_off2_noise4.png, 4, -4.4
siwirora_speed3_yaw2_wind3_off2_noise7.png, 2, -12.2
siwirora_speed8_yaw11_wind1_off1_noise4.png, 11, 33.1
siwirora_speed3_yaw7_wind6_off2_noise8.png, 7, 4.0
siwirora_speed4_yaw9_wind2_off1_noise4.png, 9, 15.8
siwirora_speed5_yaw9_wind3_off2_noise8.png, 9, 15.5
siwirora_speed2_yaw10_wind4_off2_noise8.png, 10, 15.5
siwirora_speed7_yaw6_wind4_off2_noise8.png, 6, -7.2
siwirora_speed8_yaw8_wind5_off1_noise3.png, 8, 14.1
siwirora_speed8_yaw11_wind1_off2_noise2.png, 11, 42.3
siwirora_speed9_yaw5_wind2_off2_noise5.png, 5, -17.9
siwirora_speed1_yaw9_wind1_off1_noise4.png, 9, 1.8
siwirora_speed1_yaw3_wind6_off1_noise6.png, 3, -7.9
siwirora_speed1_yaw8_wind3_off1_noise8.png, 8, 1.6
siwirora_speed6_yaw11_wind4_off2_noise3.png, 11, 23.4
siwirora_speed3_yaw2_wind6_off2_noise5.png, 2, -13.6
siwirora_speed3_yaw11_wind2_off2_noise2.png, 11, 15.5
siwirora_speed2_yaw6_wind1_off2_noise1.png, 6, -2.1
siwirora_speed1_yaw11_wind6_off1_noise6.png, 11, 13.8
siwirora_speed1_yaw9_wind3_off1_noise7.png, 9, 4.3
siwirora_speed4_yaw4_wind2_off1_noise7.png, 4, -20.6
siwirora_speed4_yaw4_wind5_off2_noise8.png, 4, -17.4
siwirora_speed7_yaw10_wind2_off2_noise6.png, 10, 29.2
siwirora_speed3_yaw8_wind4_off2_noise6.png, 8, -9.0
siwirora_speed9_yaw2_wind1_off2_noise5.png, 2, -34.7
siwirora_speed5_yaw4_wind1_off1_noise4.png, 4, -18.8
siwirora_speed1_yaw8_wind5_off1_noise4.png, 8, 4.3
siwirora_speed3_yaw6_wind5_off1_noise3.png, 6, -5.3
siwirora_speed2_yaw7_wind2_off1_noise3.png, 7, -0.5
siwirora_speed7_yaw3_wind5_off2_noise4.png, 3, -31.9
siwirora_speed7_yaw7_wind6_off1_noise3.png, 7, 3.1
siwirora_speed3_yaw3_wind4_off1_noise7.png, 3, -19.8
siwirora_speed8_yaw2_wind3_off2_noise3.png, 2, -30.0
siwirora_speed4_yaw4_wind1_off2_noise3.png, 4, -18.3
siwirora_speed2_yaw1_wind3_off1_noise6.png, 1, -15.1
siwirora_speed6_yaw10_wind1_off1_noise7.png, 10, 23.1
siwirora_speed6_yaw8_wind5_off2_noise1.png, 8, 10.1
siwirora_speed5_yaw10_wind3_off1_noise4.png, 10, 25.0
siwirora_speed5_yaw6_wind1_off2_noise8.png, 6, -5.8
siwirora_speed6_yaw6_wind4_off1_noise5.png, 6, 2.2
siwirora_speed5_yaw7_wind1_off2_noise8.png, 7, 1.5
siwirora_speed7_yaw7_wind6_off2_noise3.png, 7, -0.0
siwirora_speed7_yaw5_wind6_off1_noise5.png, 5, -15.8
siwirora_speed3_yaw7_wind6_off1_noise5.png, 7, -0.2
siwirora_speed7_yaw11_wind6_off2_noise3.png, 11, 50.2
siwirora_speed4_yaw11_wind5_off2_noise3.png, 11, 19.2
siwirora_speed7_yaw11_wind2_off2_noise8.png, 11, 41.1
siwirora_speed6_yaw9_wind3_off1_noise6.png, 9, 20.2
siwirora_speed7_yaw3_wind5_off1_noise1.png, 3, -23.0
siwirora_speed8_yaw2_wind6_off2_noise6.png, 2, -22.7
siwirora_speed5_yaw3_wind4_off1_noise1.png, 3, -18.6
siwirora_speed9_yaw4_wind3_off1_noise8.png, 4, -15.9
siwirora_speed5_yaw8_wind6_off1_noise1.png, 8, 5.0
siwirora_speed8_yaw7_wind6_off1_noise4.png, 7, 3.5
siwirora_speed8_yaw11_wind4_off1_noise8.png, 11, 41.9
siwirora_speed1_yaw7_wind5_off1_noise7.png, 7, -1.0
siwirora_speed5_yaw7_wind5_off1_noise8.png, 7, -1.3
siwirora_speed5_yaw10_wind1_off2_noise2.png, 10, 25.7
siwirora_speed5_yaw5_wind6_off2_noise8.png, 5, -11.2
siwirora_speed5_yaw1_wind6_off1_noise2.png, 1, -27.7
siwirora_speed8_yaw11_wind6_off2_noise5.png, 11, 15.0
siwirora_speed3_yaw1_wind5_off1_noise6.png, 1, -16.1
siwirora_speed6_yaw11_wind5_off2_noise6.png, 11, 32.9
siwirora_speed8_yaw6_wind5_off2_noise1.png, 6, -3.7
siwirora_speed2_yaw4_wind1_off2_noise3.png, 4, -13.7
siwirora_speed5_yaw1_wind1_off1_noise2.png, 1, -31.5
siwirora_speed4_yaw9_wind5_off1_noise4.png, 9, 16.9
siwirora_speed3_yaw6_wind6_off2_noise1.png, 6, -7.7
siwirora_speed5_yaw9_wind6_off1_noise3.png, 9, 16.7
siwirora_speed5_yaw3_wind3_off1_noise3.png, 3, -22.4
siwirora_speed7_yaw4_wind1_off2_noise2.png, 4, -22.9
siwirora_speed1_yaw10_wind3_off2_noise6.png, 10, 11.0
siwirora_speed9_yaw9_wind4_off1_noise1.png, 9, 24.0
siwirora_speed1_yaw9_wind4_off2_noise4.png, 9, 7.1
siwirora_speed2_yaw10_wind4_off2_noise7.png, 10, 14.5
siwirora_speed5_yaw6_wind6_off2_noise5.png, 6, -7.7
siwirora_speed9_yaw1_wind1_off2_noise8.png, 1, -39.3
siwirora_speed7_yaw4_wind1_off1_noise4.png, 4, -18.5
siwirora_speed1_yaw2_wind5_off2_noise2.png, 2, -15.8
siwirora_speed7_yaw5_wind6_off2_noise2.png, 5, -0.2
siwirora_speed6_yaw10_wind4_off2_noise4.png, 10, 28.5
siwirora_speed2_yaw5_wind4_off1_noise1.png, 5, -11.4
siwirora_speed6_yaw1_wind5_off2_noise5.png, 1, -22.1
siwirora_speed8_yaw3_wind1_off1_noise6.png, 3, -24.3
siwirora_speed6_yaw4_wind5_off2_noise3.png, 4, -22.6
siwirora_speed4_yaw7_wind2_off2_noise6.png, 7, 1.0
siwirora_speed9_yaw2_wind6_off1_noise2.png, 2, -22.2
siwirora_speed1_yaw5_wind5_off2_noise6.png, 5, -17.7
siwirora_speed5_yaw9_wind4_off1_noise2.png, 9, 18.5
siwirora_speed6_yaw1_wind4_off1_noise5.png, 1, -23.4
siwirora_speed4_yaw6_wind6_off1_noise3.png, 6, -6.1
siwirora_speed8_yaw4_wind6_off2_noise2.png, 4, -7.0
siwirora_speed7_yaw4_wind3_off1_noise4.png, 4, -19.3
siwirora_speed8_yaw2_wind1_off2_noise7.png, 2, -35.3
siwirora_speed1_yaw1_wind3_off1_noise1.png, 1, -14.9
siwirora_speed3_yaw3_wind2_off2_noise6.png, 3, -10.7
siwirora_speed5_yaw3_wind3_off2_noise1.png, 3, -22.1
siwirora_speed5_yaw3_wind4_off1_noise7.png, 3, -14.0
siwirora_speed2_yaw3_wind5_off2_noise1.png, 3, -33.9
siwirora_speed1_yaw1_wind5_off1_noise7.png, 1, -13.9
siwirora_speed8_yaw6_wind1_off2_noise7.png, 6, -11.3
siwirora_speed2_yaw2_wind4_off1_noise6.png, 2, -10.7
siwirora_speed1_yaw11_wind6_off1_noise2.png, 11, 9.7
siwirora_speed3_yaw1_wind6_off2_noise4.png, 1, -17.0
siwirora_speed6_yaw9_wind5_off1_noise2.png, 9, 25.1
siwirora_speed3_yaw6_wind3_off2_noise6.png, 6, -6.2
siwirora_speed4_yaw11_wind3_off2_noise1.png, 11, 33.3
siwirora_speed2_yaw11_wind5_off2_noise6.png, 11, 22.5
siwirora_speed1_yaw2_wind5_off1_noise2.png, 2, -10.6
siwirora_speed4_yaw2_wind3_off2_noise5.png, 2, -20.2
siwirora_speed9_yaw5_wind3_off2_noise4.png, 5, -19.0
siwirora_speed5_yaw3_wind4_off2_noise5.png, 3, -20.5
siwirora_speed4_yaw3_wind3_off2_noise6.png, 3, -15.2
siwirora_speed2_yaw8_wind6_off1_noise3.png, 8, 8.2
