outlier_identifier,label
wt3_ROT3_2023-06-26_08_20_26_789_+0200, slow
wt3_ROT3_2023-08-01_18_59_46_195_+0200, reflection
wt1_ROT1_2023-02-18_09_00_58_273_+0100, reflection
wt3_ROT3_2023-08-01_12_09_43_007_+0200, trigger
wt3_ROT1_2023-07-13_10_49_38_789_+0200, trigger
wt3_ROT2_2023-07-21_17_22_30_922_+0200, reflection
wt1_ROT3_2023-05-10_15_29_49_444_+0200, slow
wt3_ROT2_2023-07-03_06_39_00_767_+0200, reflection
wt1_ROT2_2023-01-05_10_41_53_410_+0100, trigger
wt3_ROT2_2023-07-17_10_07_43_056_+0200, reflection
wt3_ROT3_2023-07-02_09_17_50_557_+0200, trigger
wt3_ROT1_2023-07-22_19_52_31_046_+0200, reflection
wt3_ROT2_2023-07-31_13_40_18_375_+0200, reflection
wt1_ROT1_2023-05-02_12_14_14_031_+0200, slow
wt2_ROT2_2023-02-25_08_11_12_300_+0100, trigger
wt3_ROT2_2023-07-02_06_02_46_695_+0200, reflection
wt1_ROT2_2023-07-15_11_59_33_338_+0200, slow
wt3_ROT1_2023-07-01_11_57_50_431_+0200, reflection
wt3_ROT2_2023-07-01_19_00_43_577_+0200, reflection
wt3_ROT1_2023-08-02_10_56_53_180_+0200, trigger
wt3_ROT2_2023-07-25_20_17_35_981_+0200, slow
wt2_ROT2_2023-02-24_15_02_27_791_+0100, reflection
wt3_ROT2_2023-07-12_07_44_35_377_+0200, trigger
wt3_ROT1_2023-07-01_19_29_43_974_+0200, reflection
wt1_ROT2_2023-07-25_07_57_59_288_+0200, slow
wt2_ROT1_2023-02-23_10_51_44_836_+0100, slow
wt3_ROT2_2023-07-01_19_25_10_559_+0200, reflection
wt3_ROT2_2023-08-01_07_22_47_910_+0200, reflection
wt3_ROT2_2023-08-01_08_05_20_906_+0200, reflection
wt2_ROT1_2023-03-02_10_22_03_471_+0100, slow
wt3_ROT2_2023-07-03_05_36_34_175_+0200, reflection
wt3_ROT3_2023-07-31_19_17_12_914_+0200, trigger
wt1_ROT3_2023-06-18_10_06_53_197_+0200, slow
wt3_ROT3_2023-08-01_20_28_57_698_+0200, trigger
wt2_ROT3_2023-01-26_16_06_38_258_+0100, slow
wt3_ROT2_2023-07-03_08_05_21_877_+0200, reflection
wt3_ROT3_2023-07-22_18_58_55_095_+0200, reflection
wt2_ROT1_2023-02-25_08_56_04_158_+0100, trigger
wt1_ROT1_2023-02-13_10_30_11_059_+0100, slow
wt2_ROT3_2023-02-25_08_18_06_332_+0100, trigger
wt3_ROT1_2023-07-23_17_49_20_517_+0200, reflection
wt3_ROT3_2023-08-02_10_57_58_754_+0200, reflection
wt3_ROT2_2023-07-16_16_59_49_538_+0200, reflection
wt3_ROT3_2023-07-16_16_53_13_039_+0200, reflection
wt3_ROT2_2023-07-02_07_20_57_088_+0200, reflection
wt3_ROT3_2023-07-24_21_30_44_178_+0200, reflection
wt3_ROT1_2023-07-01_19_24_51_782_+0200, reflection
wt3_ROT2_2023-07-26_21_08_59_220_+0200, trigger
wt3_ROT2_2023-07-01_11_31_11_083_+0200, reflection
wt1_ROT3_2023-06-01_09_44_14_407_+0200, slow
wt3_ROT2_2023-07-01_19_38_29_836_+0200, reflection
wt3_ROT2_2023-08-01_06_39_38_378_+0200, reflection
wt1_ROT2_2023-07-25_19_42_13_352_+0200, slow
wt1_ROT3_2023-07-25_08_20_13_821_+0200, slow
wt3_ROT3_2023-08-02_08_05_56_777_+0200, reflection
wt3_ROT3_2023-07-26_21_08_45_780_+0200, trigger
wt2_ROT1_2023-01-25_16_02_02_496_+0100, slow
wt1_ROT1_2023-05-10_14_50_38_256_+0200, slow
wt3_ROT2_2023-07-03_08_59_57_842_+0200, trigger
wt3_ROT2_2023-07-01_15_31_11_178_+0200, trigger
wt3_ROT2_2023-07-01_20_26_21_319_+0200, reflection
wt3_ROT2_2023-08-01_14_10_41_538_+0200, reflection
wt1_ROT3_2023-03-10_12_30_04_037_+0100, reflection
wt2_ROT1_2023-02-23_10_58_00_194_+0100, slow
wt3_ROT3_2023-07-02_07_07_41_285_+0200, reflection
wt3_ROT2_2023-07-26_11_09_32_951_+0200, trigger
wt3_ROT2_2023-07-16_07_01_38_641_+0200, reflection
wt1_ROT3_2023-03-14_09_33_30_496_+0100, reflection
wt2_ROT1_2023-01-25_15_57_00_297_+0100, slow
wt3_ROT3_2023-07-12_09_19_44_538_+0200, trigger
wt1_ROT3_2023-02-17_15_58_07_894_+0100, trigger
wt1_ROT1_2023-03-23_08_17_03_213_+0100, reflection
wt3_ROT3_2023-07-16_17_12_30_168_+0200, reflection
wt1_ROT1_2023-01-19_13_27_05_780_+0100, reflection
wt3_ROT2_2023-07-22_19_55_13_082_+0200, reflection
wt3_ROT2_2023-07-31_13_06_19_741_+0200, reflection
wt1_ROT2_2023-07-25_19_49_27_004_+0200, slow
wt3_ROT3_2023-08-02_09_00_49_200_+0200, reflection
wt3_ROT3_2023-07-31_12_51_42_209_+0200, reflection
wt2_ROT3_2023-01-26_16_25_36_757_+0100, slow
wt1_ROT2_2023-07-13_08_53_11_873_+0200, slow
wt1_ROT3_2023-03-24_11_55_52_641_+0100, trigger
wt3_ROT3_2023-07-22_13_02_03_638_+0200, trigger
wt3_ROT2_2023-07-01_10_42_42_383_+0200, reflection
wt1_ROT3_2023-01-06_13_20_32_706_+0100, reflection
wt2_ROT1_2023-02-02_10_17_06_606_+0100, reflection
wt3_ROT3_2023-07-03_07_30_53_130_+0200, trigger
wt3_ROT1_2023-07-23_08_02_05_802_+0200, reflection
wt1_ROT3_2023-07-19_07_44_07_115_+0200, slow
wt1_ROT2_2023-07-25_08_28_06_304_+0200, slow
wt3_ROT3_2023-07-23_17_39_29_059_+0200, trigger
wt3_ROT2_2023-08-02_05_50_05_139_+0200, reflection
wt3_ROT3_2023-07-29_15_08_57_517_+0200, reflection
wt1_ROT3_2023-03-30_19_15_12_204_+0200, trigger
wt3_ROT2_2023-07-29_16_59_10_404_+0200, reflection
wt1_ROT1_2023-04-13_08_13_22_765_+0200, reflection
wt3_ROT2_2023-07-29_16_15_02_377_+0200, reflection
wt3_ROT3_2023-07-01_09_41_20_148_+0200, reflection
wt1_ROT2_2023-01-13_14_52_10_654_+0100, trigger
wt3_ROT1_2023-08-01_06_38_06_201_+0200, reflection
wt3_ROT3_2023-07-31_08_32_13_377_+0200, reflection
wt3_ROT2_2023-07-03_06_58_14_777_+0200, reflection
wt3_ROT2_2023-07-31_13_50_07_169_+0200, reflection
wt3_ROT2_2023-07-01_09_32_37_100_+0200, reflection
wt1_ROT1_2023-03-10_10_03_08_517_+0100, reflection
wt3_ROT3_2023-07-01_12_09_53_964_+0200, reflection
wt1_ROT1_2023-03-12_16_43_49_052_+0100, reflection
wt1_ROT1_2023-03-24_13_53_59_790_+0100, reflection
wt2_ROT2_2023-02-25_07_03_57_414_+0100, trigger
wt1_ROT3_2023-02-17_14_43_29_326_+0100, trigger
wt1_ROT1_2023-03-18_17_05_22_802_+0100, slow
wt3_ROT1_2023-07-01_10_33_28_349_+0200, trigger
wt3_ROT3_2023-07-12_08_47_59_761_+0200, reflection
wt3_ROT1_2023-07-31_13_24_13_112_+0200, reflection
wt1_ROT3_2023-02-19_17_55_28_329_+0100, slow
wt3_ROT2_2023-07-16_17_27_20_164_+0200, reflection
wt3_ROT2_2023-07-22_10_04_23_192_+0200, reflection
wt3_ROT2_2023-07-03_05_35_07_067_+0200, reflection
wt1_ROT3_2023-05-24_06_27_47_678_+0200, slow
wt3_ROT1_2023-07-12_12_37_06_509_+0200, trigger
wt3_ROT2_2023-07-16_07_37_15_234_+0200, reflection
wt1_ROT2_2023-04-28_18_30_10_084_+0200, slow
wt3_ROT3_2023-08-01_08_09_00_158_+0200, trigger
wt3_ROT1_2023-07-31_13_08_35_367_+0200, reflection
wt3_ROT1_2023-07-31_14_08_33_680_+0200, reflection
wt3_ROT1_2023-07-02_06_24_39_906_+0200, reflection
wt3_ROT1_2023-07-29_14_38_07_221_+0200, reflection
wt3_ROT3_2023-08-01_16_41_58_037_+0200, reflection
wt3_ROT3_2023-07-02_07_16_08_471_+0200, trigger
wt1_ROT2_2023-07-18_07_00_49_709_+0200, slow
wt3_ROT1_2023-07-16_07_34_28_363_+0200, reflection
wt3_ROT1_2023-08-01_06_57_43_920_+0200, reflection
wt1_ROT2_2023-06-18_10_07_53_906_+0200, slow
wt3_ROT3_2023-07-31_08_21_36_298_+0200, reflection
wt3_ROT3_2023-08-01_07_21_42_111_+0200, reflection
wt3_ROT1_2023-08-01_07_42_56_335_+0200, trigger
wt1_ROT3_2023-01-14_08_03_06_012_+0100, reflection
wt2_ROT3_2023-02-25_11_38_30_717_+0100, slow
wt3_ROT1_2023-07-01_18_20_21_421_+0200, reflection
wt3_ROT1_2023-07-01_15_59_30_064_+0200, reflection
wt3_ROT1_2023-07-05_09_09_16_665_+0200, trigger
wt3_ROT2_2023-07-23_16_04_17_643_+0200, reflection
wt3_ROT1_2023-08-02_11_07_06_496_+0200, trigger
wt3_ROT1_2023-07-16_07_42_19_084_+0200, reflection
wt2_ROT1_2023-01-26_17_10_46_148_+0100, slow
wt1_ROT2_2023-04-13_08_22_21_907_+0200, reflection
wt3_ROT1_2023-07-22_10_34_08_325_+0200, reflection
wt2_ROT1_2023-01-26_17_19_13_332_+0100, slow
wt2_ROT1_2023-03-02_10_30_56_194_+0100, slow
wt1_ROT3_2023-05-10_14_54_28_696_+0200, slow
wt3_ROT3_2023-07-22_11_05_23_812_+0200, reflection
wt3_ROT2_2023-07-28_10_29_04_861_+0200, reflection
wt1_ROT3_2023-02-01_16_51_27_589_+0100, trigger
wt3_ROT2_2023-08-01_08_15_30_934_+0200, reflection
wt3_ROT2_2023-07-30_13_02_53_610_+0200, trigger
wt1_ROT1_2023-04-13_08_59_45_595_+0200, reflection
wt3_ROT3_2023-07-31_08_16_43_968_+0200, reflection
wt1_ROT1_2023-01-14_08_11_55_423_+0100, reflection
wt1_ROT1_2023-02-09_16_27_36_037_+0100, slow
wt3_ROT2_2023-07-04_04_49_28_401_+0200, reflection
wt1_ROT3_2023-05-10_16_55_00_355_+0200, slow
wt3_ROT1_2023-07-13_15_56_41_790_+0200, reflection
wt1_ROT1_2023-01-26_08_29_57_795_+0100, slow
wt2_ROT3_2023-02-02_11_49_15_562_+0100, reflection
wt1_ROT1_2023-03-24_14_41_32_481_+0100, reflection
wt3_ROT2_2023-07-12_06_28_21_196_+0200, reflection
wt2_ROT3_2023-01-20_12_16_51_532_+0100, slow
wt3_ROT1_2023-07-01_11_32_09_942_+0200, reflection
wt3_ROT3_2023-07-05_10_34_24_494_+0200, reflection
wt1_ROT3_2023-05-24_14_23_05_119_+0200, slow
wt3_ROT2_2023-07-23_14_49_56_194_+0200, reflection
wt3_ROT3_2023-07-31_08_22_02_448_+0200, trigger
wt3_ROT2_2023-07-17_11_39_02_229_+0200, reflection
wt3_ROT3_2023-07-04_04_49_32_070_+0200, reflection
wt3_ROT1_2023-08-02_10_29_33_362_+0200, reflection
wt1_ROT2_2023-07-19_06_37_14_263_+0200, slow
wt3_ROT1_2023-07-16_07_46_56_181_+0200, reflection
wt3_ROT1_2023-07-01_09_53_08_154_+0200, reflection
wt1_ROT1_2023-01-19_13_26_04_759_+0100, reflection
wt3_ROT3_2023-08-01_09_57_22_541_+0200, reflection
wt3_ROT1_2023-07-02_07_26_27_155_+0200, reflection
wt2_ROT2_2023-02-25_07_56_26_180_+0100, trigger
wt1_ROT1_2023-03-31_14_17_06_765_+0200, trigger
wt1_ROT3_2023-03-25_15_27_55_626_+0100, reflection
wt1_ROT3_2023-02-12_15_05_55_938_+0100, slow
wt3_ROT2_2023-07-30_13_22_19_499_+0200, reflection
wt1_ROT1_2023-03-14_14_33_22_944_+0100, reflection
wt3_ROT1_2023-07-03_06_22_16_990_+0200, reflection
wt3_ROT3_2023-07-30_12_18_17_959_+0200, reflection
wt3_ROT2_2023-07-16_08_16_45_495_+0200, reflection
wt3_ROT2_2023-07-12_08_54_49_863_+0200, trigger
wt2_ROT1_2023-01-20_11_23_39_448_+0100, slow
wt3_ROT1_2023-07-16_06_52_29_960_+0200, reflection
wt3_ROT3_2023-07-31_17_30_45_405_+0200, reflection
wt3_ROT2_2023-07-02_07_24_18_085_+0200, trigger
wt1_ROT1_2023-07-17_15_12_46_591_+0200, trigger
wt1_ROT1_2023-06-18_06_00_49_415_+0200, slow
wt3_ROT3_2023-08-01_07_30_05_486_+0200, reflection
wt3_ROT3_2023-07-22_18_07_16_147_+0200, reflection
wt1_ROT3_2023-02-18_13_04_28_154_+0100, trigger
wt3_ROT3_2023-07-01_19_40_36_929_+0200, trigger
wt3_ROT3_2023-08-01_09_35_10_358_+0200, reflection
wt1_ROT2_2023-03-25_09_42_42_046_+0100, trigger
wt3_ROT1_2023-08-02_10_22_43_121_+0200, reflection
wt1_ROT1_2023-04-13_08_16_11_009_+0200, reflection
wt2_ROT3_2023-02-24_13_20_20_016_+0100, reflection
wt1_ROT3_2023-07-03_07_35_33_422_+0200, trigger
wt3_ROT3_2023-07-01_16_57_06_995_+0200, reflection
wt2_ROT2_2023-01-20_12_39_04_713_+0100, slow
wt2_ROT3_2023-02-02_09_01_06_831_+0100, reflection
wt1_ROT2_2023-03-24_12_02_52_135_+0100, reflection
wt3_ROT3_2023-07-12_07_47_01_091_+0200, reflection
wt1_ROT3_2023-07-25_08_20_56_924_+0200, slow
wt3_ROT1_2023-07-16_16_19_43_344_+0200, reflection
wt3_ROT3_2023-07-17_09_21_20_072_+0200, reflection
wt3_ROT1_2023-07-24_21_12_03_020_+0200, trigger
wt3_ROT2_2023-07-02_06_37_26_962_+0200, reflection
wt3_ROT2_2023-07-30_18_55_09_100_+0200, reflection
wt1_ROT1_2023-05-24_14_07_52_745_+0200, slow
wt3_ROT1_2023-07-01_15_30_52_785_+0200, reflection
wt3_ROT2_2023-08-01_06_45_16_016_+0200, reflection
wt2_ROT3_2023-03-02_10_51_15_970_+0100, slow
wt3_ROT2_2023-07-21_16_56_47_035_+0200, trigger
wt3_ROT3_2023-07-28_10_32_05_445_+0200, reflection
wt2_ROT3_2023-01-26_16_53_24_683_+0100, slow
wt3_ROT1_2023-07-23_17_06_08_455_+0200, reflection
wt1_ROT2_2023-03-24_12_13_41_459_+0100, trigger
wt3_ROT3_2023-07-26_21_23_38_542_+0200, trigger
wt3_ROT1_2023-07-16_08_37_43_394_+0200, reflection
wt1_ROT3_2023-03-14_10_16_43_802_+0100, reflection
wt1_ROT1_2023-01-15_13_30_48_565_+0100, reflection
wt3_ROT3_2023-07-27_06_40_44_998_+0200, reflection
wt3_ROT3_2023-08-02_09_39_33_553_+0200, reflection
wt3_ROT3_2023-07-01_18_24_49_796_+0200, reflection
wt3_ROT3_2023-07-16_09_03_43_109_+0200, reflection
wt3_ROT2_2023-07-31_14_00_29_074_+0200, reflection
wt3_ROT3_2023-07-23_16_06_09_151_+0200, trigger
wt3_ROT3_2023-07-01_20_10_30_590_+0200, reflection
wt3_ROT3_2023-07-02_07_00_05_735_+0200, reflection
wt3_ROT2_2023-07-12_09_04_15_861_+0200, reflection
wt3_ROT1_2023-07-02_06_33_38_291_+0200, reflection
wt1_ROT2_2023-01-05_08_07_28_745_+0100, trigger
wt3_ROT3_2023-07-03_05_31_19_769_+0200, reflection
wt3_ROT3_2023-07-13_08_49_28_456_+0200, slow
wt3_ROT3_2023-08-02_10_55_27_829_+0200, trigger
wt1_ROT3_2023-02-13_12_25_19_383_+0100, slow
wt1_ROT1_2023-02-17_13_53_45_616_+0100, trigger
wt3_ROT2_2023-07-30_16_59_02_321_+0200, trigger
wt3_ROT1_2023-07-01_20_03_06_725_+0200, reflection
wt1_ROT2_2023-01-19_11_42_28_381_+0100, trigger
wt3_ROT3_2023-08-01_06_40_56_813_+0200, reflection
wt1_ROT3_2023-01-04_10_11_20_379_+0100, reflection
wt2_ROT2_2023-01-30_14_10_22_801_+0100, trigger
wt3_ROT3_2023-07-03_06_21_32_670_+0200, reflection
wt3_ROT1_2023-07-24_18_02_59_534_+0200, reflection
wt1_ROT1_2023-07-25_19_27_13_309_+0200, slow
wt3_ROT3_2023-07-22_06_23_49_611_+0200, reflection
wt3_ROT2_2023-07-02_07_26_45_762_+0200, reflection
wt1_ROT3_2023-06-29_09_02_45_834_+0200, slow
wt3_ROT1_2023-07-29_18_47_15_811_+0200, reflection
wt3_ROT1_2023-07-17_10_55_07_993_+0200, reflection
wt3_ROT3_2023-07-02_07_29_42_975_+0200, trigger
wt2_ROT3_2023-02-25_08_25_00_111_+0100, trigger
wt3_ROT1_2023-07-03_06_34_20_034_+0200, reflection
wt3_ROT3_2023-07-16_07_47_59_179_+0200, reflection
wt3_ROT3_2023-07-12_13_24_42_281_+0200, reflection
wt3_ROT3_2023-07-03_06_21_48_062_+0200, trigger
wt2_ROT2_2023-01-26_15_49_22_972_+0100, slow
wt3_ROT3_2023-07-16_17_13_02_497_+0200, reflection
wt3_ROT3_2023-07-23_07_59_33_483_+0200, reflection
wt1_ROT3_2023-03-14_09_46_29_228_+0100, reflection
wt3_ROT2_2023-07-17_10_26_23_030_+0200, reflection
wt2_ROT1_2023-01-26_15_56_26_998_+0100, slow
wt3_ROT1_2023-07-02_09_53_16_727_+0200, reflection
wt3_ROT2_2023-07-31_15_46_14_437_+0200, reflection
wt3_ROT1_2023-07-05_13_59_45_343_+0200, trigger
wt2_ROT3_2023-02-02_13_08_25_011_+0100, reflection
wt2_ROT1_2023-02-23_10_52_06_264_+0100, slow
wt3_ROT2_2023-07-03_08_00_43_575_+0200, trigger
wt1_ROT1_2023-01-31_08_22_09_539_+0100, reflection
wt3_ROT2_2023-08-02_10_31_58_065_+0200, trigger
wt3_ROT3_2023-07-12_12_58_31_011_+0200, reflection
wt3_ROT1_2023-07-23_17_12_13_905_+0200, reflection
wt2_ROT3_2023-01-26_17_16_32_993_+0100, slow
wt3_ROT2_2023-07-28_10_19_59_924_+0200, reflection
